,author_id,created_at,edit_history_tweet_ids,id,text,retweet_count,reply_count,like_count,quote_count,impression_count,profile_urls,user_username,user_name,user_ids
0,1587390317350764545,2023-01-15 23:55:47+00:00,[1614773370985533440],1614773370985533440,"Understanding Air France 447 BDOAU3L

https://t.co/l91AlcWTBP",0,0,0,0,0,https://pbs.twimg.com/profile_images/1587390429112291331/3lMRMu-g_normal.jpg,keebler91ilqov,Francesca_Keebler91IlQOv,1587390317350764545
1,395859132,2023-01-15 23:44:53+00:00,[1614770626530627590],1614770626530627590,"@Erika03263290 @petersbrud Hatten wir hier noch nicht auf https://t.co/hDe3VH5DoY hingewiesen? Ach, nein, das war ein anderer Thread.",0,0,0,0,5,https://pbs.twimg.com/profile_images/3724083387/c746709429451cf992037f2f7a992cb9_normal.png,Nuklearia,Nuklearia e. V.,395859132
2,97963505,2023-01-15 22:53:09+00:00,[1614757611114471424],1614757611114471424,Actuellement sur NEVERS NEWS POP ROCK : #Nevers #France NowPlaying #Rammstein - Rammstein - Du #Hast #RockRadio #NeversNews #Rammstein - Rammstein - Du #Hast  Rammstein - Du #Hast  #Rammstein,0,0,0,0,7,https://pbs.twimg.com/profile_images/1347677784974516225/5TITJ7vW_normal.jpg,NeversNews,NEVERS NEWS,97963505
3,714315926,2023-01-15 22:49:15+00:00,[1614756626447364096],1614756626447364096,[ German's Language ] Frankreich = France,0,0,0,0,3,https://pbs.twimg.com/profile_images/3513468515/c67db670498b4246de7aebdc58660a47_normal.jpeg,Anm_derPreussen,Gilbert Beilschmidt,714315926
4,861061674,2023-01-15 22:30:33+00:00,[1614751920144502786],1614751920144502786,"Hat gerade ein Foto gepostet @ European Parlament, Strasburg, France https://t.co/pZjXv7IOe3",0,2,1,0,4,https://pbs.twimg.com/profile_images/820335311888777216/qlgK1K71_normal.jpg,Hamed_Tehrani,Hamed Tehrani 💎,861061674
5,2934007104,2023-01-15 22:16:28+00:00,[1614748375882108928],1614748375882108928,#NowPlaying auf MHR24 100% von Hier 100% fuer Euch https://t.co/0C760KVj2K  - France Joli - Come To Me - Jetzt einschalten und zuhoeren https://t.co/IbfaUsQiT5,0,0,0,0,0,https://pbs.twimg.com/profile_images/1580663135878496257/e5oMjR-w_normal.jpg,MyHitradio24,My-Hitradio24,2934007104
6,1196002387728773126,2023-01-15 22:15:38+00:00,[1614748168109051904],1614748168109051904,@LoL_France @Fulllife_fr Bilgewater 😃,0,0,0,0,6,https://pbs.twimg.com/profile_images/1507373577867350017/MAB9-UAG_normal.jpg,LadyL9219,LaDy L 🌸,1196002387728773126
7,747188177354559488,2023-01-15 22:15:09+00:00,[1614748044662083585],1614748044662083585,L'histoire de France wurde soeben publiziert! https://t.co/aTcECOiWkN Vielen Dank an @mdrechsler @ChateauNantes #ideedesortie #patrimoine,0,0,0,0,2,https://pbs.twimg.com/profile_images/747210112608108544/GlJ7Djc0_normal.jpg,Medienstuebchen,Arnold Melm,747188177354559488
8,4867334236,2023-01-15 21:51:51+00:00,[1614742182245847040],1614742182245847040,@france_85 Was hat das mit den HA-Heften zu tun? Verstehe ich nicht.,0,1,1,0,60,https://pbs.twimg.com/profile_images/1613589624542167040/iBQ3K2zj_normal.jpg,Miellettes,Mme Journal™ 🗞 RLP 🍾 Mag Jahreszahlen🚶pas prof,4867334236
9,1554075819403870217,2023-01-15 21:25:14+00:00,[1614735486312124417],1614735486312124417,"@france_arno @gunnar_beck Es ist also schlimmer als jetzt, wenn die Leute weniger Steuern zahlen müssen?",0,1,2,0,84,https://pbs.twimg.com/profile_images/1597742619446190082/zyOPilX5_normal.jpg,galeria1281,Johannes,1554075819403870217
