Unnamed: 0,author_id,created_at,edit_history_tweet_ids,tweetid,message,retweet_count,reply_count,like_count,quote_count,impression_count,profile_urls,user_username,user_name,user_ids,my_label,sentiment,trained_on,df_index,hashtag
9,1207848809004445698,2023-01-11 23:59:32+00:00,[1613324763509755919],1613324763509755919,"@Willy1000 @Willard1951 @RichardKing633 @MartinJBern @EdBohman @ejwwest @25_cycle @johnson_wrjohn1 @KeillerDon @Climatehope2 @Climate_Takes @LHaden_Climate @ThruNoiz @DawnTJ90 @suffect @Faktantarkast10 @BJChippindale @TheDisproof @LemarbreStephen @Mike8Wallace @verycentrist @j70def @lyndon_staley @GrahamKirk17 @Stephen90045069 @WHUT @EcoSenseNow @RStabb26 @MorseBart @EDavidAn @AreYouDerp @canncr @PDemichel @RHMcK1 @outsanest @Robert76907841 @coug62 @FChecker76 @Bos77 @MhehedZherting @LesJohnsonHrvat @aDissentient @ChrisBBacon3 @algore @LeoDiCaprio @nytclimate @BBCNewsnight No, Greenland has been gaining ice and is currently above the mean. https://t.co/x00v81Vpt6",0,0,2,0,29,https://pbs.twimg.com/profile_images/1591521911066050561/21sAmwve_normal.jpg,ClimateSkeptic4,There Is No Climate Crisis!!!,1207848809004445698,,,0.0,9,[]
5,3136077938,2023-01-11 23:59:52+00:00,[1613324846263599104],1613324846263599104,"@RichardKing633 @Willy1000 @MartinJBern @EdBohman @ejwwest @25_cycle @johnson_wrjohn1 @KeillerDon @Climatehope2 @Climate_Takes @LHaden_Climate @ThruNoiz @DawnTJ90 @suffect @Faktantarkast10 @BJChippindale @TheDisproof @LemarbreStephen @Mike8Wallace @verycentrist @j70def @lyndon_staley @GrahamKirk17 @Stephen90045069 @WHUT @EcoSenseNow @RStabb26 @MorseBart @EDavidAn @AreYouDerp @canncr @PDemichel @RHMcK1 @outsanest @Robert76907841 @ClimateSkeptic4 @coug62 @FChecker76 @Bos77 @MhehedZherting @LesJohnsonHrvat @aDissentient @ChrisBBacon3 @algore @LeoDiCaprio @nytclimate @BBCNewsnight There are wind and other patterns on the oceans
There are differences in vertical land motion on the shores - subsidence lowers some sites more while glacial rebound &amp; tectonic uplift raise others",0,1,0,0,32,https://pbs.twimg.com/profile_images/1196948663886630913/GubfxD8j_normal.jpg,Willard1951,James William Owens,3136077938,,,0.0,5,[]
4,3058787063,2023-01-11 23:59:52+00:00,[1613324847488159750],1613324847488159750,"Growing up in the Ruby Sea, it was normal to wear little clothes, so it never bothered her. 
Going to Eorzea, she became a bit more conscious because at the time, Au'ra weren't a common race, and she worried about the comments.
Plus the climate change was drastic https://t.co/xppMBgs7Q7",0,1,1,0,54,https://pbs.twimg.com/profile_images/1613099521977745408/_aCUWbdI_normal.jpg,Keelster361,🍎Angie🍎,3058787063,,,0.0,4,[]
8,1343303933754814466,2023-01-11 23:59:35+00:00,[1613324775643815937],1613324775643815937,Just when I think they can’t get any more stupid regarding climate change they go and say something stupid like banning gas stoves.,0,0,1,0,3,https://pbs.twimg.com/profile_images/1343305733358690310/sCs3MB5z_normal.jpg,javaluvingrams,☕ Grams☕,1343303933754814466,,,0.0,8,[]
2,1563701803648425984,2023-01-11 23:59:55+00:00,[1613324859765043200],1613324859765043200,Woodgreen Tenants' Association: #WORST DAY IN #HUMAN HISTORY AS #POPULATION REACHE... https://t.co/7FOThGRdMC #FOOD #PRICES #FOODBANKS #INFLATION #SCARCITY #OVERPOPULTION #Business #SHORTAGES #HOUSING #CLIMATE #RESOURCES #Topoli #Onpoli #Cdnpoli https://t.co/oA1ZuxG7Oy gh https://t.co/wkVRyDl4JU,0,0,0,0,28,https://pbs.twimg.com/profile_images/1563702320612909059/Q0ubD3Pg_normal.jpg,WoodgreenTenAss,Official Woodgreen Tenants' Association,1563701803648425984,,,0.0,2,"['WORST', 'HUMAN', 'POPULATION', 'FOOD', 'PRICES', 'FOODBANKS', 'INFLATION', 'SCARCITY', 'OVERPOPULTION', 'Business', 'SHORTAGES', 'HOUSING', 'CLIMATE', 'RESOURCES', 'Topoli', 'Onpoli', 'Cdnpoli']"
3,1533852409054756866,2023-01-11 23:59:54+00:00,[1613324857135009795],1613324857135009795,"@RonnyJacksonTX So, the climate and gas stoves cause cardiac problems…
What will they blame next?   
Sad thing, people believe it. https://t.co/kYx3cf5k3l",0,0,0,0,10,https://pbs.twimg.com/profile_images/1612123441548738560/Kp4DJslM_normal.jpg,Nopronouns77,Pete,1533852409054756866,,,0.0,3,[]
7,844382375303876608,2023-01-11 23:59:38+00:00,[1613324790642741250],1613324790642741250,@JackPosobiec Yeap … know a people in the hole for 7 because they made a climate change joke about Mother Nature and a volcano…,0,0,0,0,4,https://pbs.twimg.com/profile_images/1587677816904208386/-gT1PybU_normal.jpg,ellmaness,It’s me 🔨 🍊,844382375303876608,,,0.0,7,[]
0,2478828037,2023-01-11 23:59:59+00:00,[1613324878119051267],1613324878119051267,"@antonioguterres @UN Nope, you donate your hard earned pay cheque for this climate farce. We’re not. https://t.co/dAOtTCDlxR",0,0,0,0,19,https://pbs.twimg.com/profile_images/1310779549341356033/NO1AQ4Ld_normal.jpg,FilTProfBiker,Fil T 🇨🇦🇬🇷,2478828037,-1.0,,1.0,0,[]
6,1204428883610755079,2023-01-11 23:59:39+00:00,[1613324793247301632],1613324793247301632,@RoKhanna I thought it was Climate Change ™️,0,0,0,0,34,https://pbs.twimg.com/profile_images/1597783158904193032/X7oeRf3B_normal.jpg,superdupler,Super Dupler (Kyle),1204428883610755079,-1.0,,1.0,6,[]
1,17331746,2023-01-11 23:59:57+00:00,[1613324868682153984],1613324868682153984,"“We will never survive the climate crisis without ending white supremacy…You can’t have climate change without sacrifice zones, and you can’t have sacrifice zones without disposable people, and you can’t have disposable people without racism.”
- Hop Hopkins",0,0,0,0,35,https://pbs.twimg.com/profile_images/1586132998969348102/cGTSFymG_normal.jpg,andrewpaulhill,andrew hill (he/him/his),17331746,0.0,,1.0,1,[]
